,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
0,albany,42.6,-73.97,66.0,91,1,2.71,US,1596622782
1,cape town,-33.93,18.42,57.2,44,0,19.46,ZA,1596622675
2,mataura,-46.19,168.86,42.01,94,74,1.99,NZ,1596622869
3,west wendover,40.74,-114.07,71.6,26,1,5.82,US,1596622869
4,kruisfontein,-34.0,24.73,57.99,63,94,1.01,ZA,1596622869
5,punta arenas,-53.15,-70.92,37.0,80,100,12.75,CL,1596622612
6,kingman,35.19,-114.05,78.8,15,1,5.82,US,1596622870
7,tilichiki,60.47,166.1,50.38,74,91,8.43,RU,1596622870
8,saskylakh,71.92,114.08,70.72,57,100,10.2,RU,1596622870
9,cidreira,-30.18,-50.21,56.88,88,0,7.74,BR,1596622870
10,castro,-24.79,-50.01,47.7,94,83,5.5,BR,1596622871
11,atuona,-9.8,-139.03,78.89,77,25,20.54,PF,1596622871
12,qaanaaq,77.48,-69.36,30.18,82,4,8.21,GL,1596622871
13,bredasdorp,-34.53,20.04,55.4,54,26,3.36,ZA,1596622872
14,mattru,7.62,-11.83,78.33,67,51,3.98,SL,1596622872
15,yar-sale,66.83,70.83,72.73,38,1,9.71,RU,1596622872
16,antalaha,-14.9,50.28,75.9,61,44,12.55,MG,1596622872
17,jamestown,42.1,-79.24,61.0,93,90,9.17,US,1596622590
18,khatanga,71.97,102.5,61.72,89,100,8.52,RU,1596622873
19,nyurba,63.28,118.33,74.5,56,56,4.5,RU,1596622873
20,vila velha,-20.33,-40.29,66.0,93,75,2.24,BR,1596622873
21,nizwa,22.93,57.53,110.98,12,62,6.24,OM,1596622874
22,penzance,50.12,-5.54,68.0,93,75,21.92,GB,1596622874
23,kieta,-6.22,155.63,79.84,79,100,8.14,PG,1596622875
24,hithadhoo,-0.6,73.08,82.47,72,100,12.44,MV,1596622875
25,thompson,55.74,-97.86,64.4,88,90,4.7,CA,1596622875
26,gaya,24.78,85.0,91.4,66,75,11.41,IN,1596622875
27,kapaa,22.08,-159.32,78.8,78,20,16.11,US,1596622876
28,sitka,57.05,-135.33,53.6,93,75,3.36,US,1596622876
29,busselton,-33.65,115.33,60.01,57,51,10.13,AU,1596622877
30,nikolskoye,59.7,30.79,68.0,77,75,11.18,RU,1596622877
31,panaba,21.28,-88.27,75.16,95,76,3.04,MX,1596622877
32,tuktoyaktuk,69.45,-133.04,44.13,92,100,7.78,CA,1596622878
33,hilo,19.73,-155.09,75.2,83,90,8.14,US,1596622878
34,naze,28.37,129.48,86.0,79,20,8.05,JP,1596622879
35,mount gambier,-37.83,140.77,44.6,93,90,8.05,AU,1596622879
36,bluff,-46.6,168.33,42.01,94,85,1.99,NZ,1596622880
37,coria,39.99,-6.54,91.0,25,0,1.99,ES,1596622880
38,hermanus,-34.42,19.23,57.99,56,3,1.99,ZA,1596622880
39,mahebourg,-20.41,57.7,71.6,60,40,11.41,MU,1596622880
40,rikitea,-23.12,-134.97,71.17,92,100,10.07,PF,1596622881
41,lake charles,30.21,-93.2,75.2,94,1,4.7,US,1596622881
42,vallenar,-28.57,-70.76,54.55,78,0,3.27,CL,1596622881
43,luderitz,-26.65,15.16,60.8,41,0,21.92,NA,1596622882
44,north bend,43.41,-124.22,60.01,100,90,5.82,US,1596622882
45,katsuura,35.13,140.3,82.0,81,1,1.01,JP,1596622882
46,labuhan,-6.88,112.21,82.83,72,52,7.45,ID,1596622882
47,balaguer,41.79,0.81,80.01,50,1,2.24,ES,1596622883
48,namibe,-15.2,12.15,69.8,77,90,7.52,AO,1596622883
49,bengkulu,-3.8,102.27,83.46,77,71,12.24,ID,1596622884
50,port hardy,50.7,-127.42,50.0,93,5,4.7,CA,1596622884
51,upernavik,72.79,-56.15,38.7,73,24,3.47,GL,1596622884
52,ushuaia,-54.8,-68.3,44.6,48,64,16.11,AR,1596622878
53,chilca,-12.52,-76.74,59.0,82,90,2.24,PE,1596622885
54,port alfred,-33.59,26.89,57.34,68,98,3.8,ZA,1596622885
55,barrow,71.29,-156.79,44.6,93,90,6.93,US,1596622861
56,sal rei,16.18,-22.92,80.6,78,75,8.05,CV,1596622885
57,te anau,-45.42,167.72,43.65,89,92,0.67,NZ,1596622886
58,pevek,69.7,170.31,33.1,98,100,11.65,RU,1596622886
59,vaini,-21.2,-175.2,60.8,93,20,6.22,TO,1596622886
60,sao joao da barra,-21.64,-41.05,78.8,94,9,4.7,BR,1596622886
61,karimpur,23.97,88.62,86.92,80,89,19.66,IN,1596622887
62,toba,34.48,136.85,82.99,74,20,11.41,JP,1596622887
63,lebu,-37.62,-73.65,50.34,93,32,11.88,CL,1596622887
64,lompoc,34.64,-120.46,57.2,93,90,9.17,US,1596622650
65,bambous virieux,-20.34,57.76,71.6,60,40,11.41,MU,1596622888
66,severo-kurilsk,50.68,156.12,52.36,91,100,6.64,RU,1596622888
67,gravdal,68.12,13.5,59.0,77,75,11.41,NO,1596622888
68,camacha,33.08,-16.33,71.6,78,75,14.99,PT,1596622889
69,tuy hoa,13.08,109.3,86.27,74,85,10.47,VN,1596622889
70,petropavlovsk-kamchatskiy,53.05,158.65,55.4,100,1,4.47,RU,1596622889
71,saquarema,-22.92,-42.51,60.8,93,75,2.24,BR,1596622889
72,lagoa,39.05,-27.98,70.86,86,76,12.41,PT,1596622889
73,itoman,26.12,127.67,86.0,79,40,10.29,JP,1596622890
74,new norfolk,-42.78,147.06,42.01,78,97,3.0,AU,1596622890
75,churapcha,62.0,132.43,75.15,29,28,6.02,RU,1596622890
76,saint-philippe,-21.36,55.77,73.4,56,90,8.05,RE,1596622891
77,aksu,41.12,80.26,97.88,12,46,5.86,CN,1596622891
78,yellowknife,62.46,-114.35,59.0,100,75,4.7,CA,1596622791
79,avarua,-21.21,-159.78,73.4,100,92,8.05,CK,1596622891
80,trincomalee,8.57,81.23,89.31,56,100,21.41,LK,1596622892
81,nurota,40.56,65.69,95.0,19,0,11.41,UZ,1596622892
82,ust-ilimsk,58.0,102.66,77.05,38,78,1.07,RU,1596622892
83,namatanai,-3.67,152.43,80.46,80,99,7.47,PG,1596622892
84,seoul,37.57,126.98,82.4,94,75,5.44,KR,1596622782
85,guerrero negro,27.98,-114.06,65.95,93,2,9.26,MX,1596622893
86,ntcheu,-14.82,34.64,80.11,32,10,3.27,MW,1596622893
87,hanyang,32.14,105.51,81.57,86,100,3.2,CN,1596622894
88,diego de almagro,-26.37,-70.05,46.65,73,0,1.48,CL,1596622894
89,walvis bay,-22.96,14.51,61.0,67,20,4.7,NA,1596622894
90,constitucion,-35.33,-72.42,53.22,91,69,3.65,CL,1596622894
91,batagay-alyta,67.8,130.41,67.98,40,55,8.46,RU,1596622894
92,faanui,-16.48,-151.75,77.49,81,31,12.35,PF,1596622895
93,palauig,15.44,119.9,85.48,77,100,4.52,PH,1596622895
94,bodden town,19.28,-81.25,84.0,88,98,1.99,KY,1596622895
95,iqaluit,63.75,-68.51,57.2,76,40,9.17,CA,1596622895
96,laguna,38.42,-121.42,62.6,77,1,8.05,US,1596622896
97,hostotipaquillo,21.07,-104.07,69.01,94,100,2.26,MX,1596622896
98,cherskiy,68.75,161.3,41.88,87,100,8.99,RU,1596622896
99,saint george,37.1,-113.58,80.01,19,1,11.41,US,1596622897
100,peru,40.75,-86.07,51.01,100,1,4.7,US,1596622897
101,baykit,61.67,96.37,72.9,54,93,11.05,RU,1596622897
102,flin flon,54.77,-101.86,58.12,90,0,5.14,CA,1596622897
103,mezhdurechensk,53.69,88.06,78.98,36,14,9.75,RU,1596622897
104,hovd,48.01,91.64,71.08,41,100,5.46,MN,1596622620
105,sampit,-2.53,112.95,78.17,94,79,2.59,ID,1596622898
106,tasiilaq,65.61,-37.64,41.0,93,75,4.41,GL,1596622898
107,uhlove,44.82,33.6,84.36,36,0,16.67,UA,1596622898
108,souillac,-20.52,57.52,71.6,60,40,11.41,MU,1596622898
109,carnarvon,-24.87,113.63,66.2,72,0,12.75,AU,1596622899
110,boda,4.32,17.47,73.6,91,98,5.75,CF,1596622899
111,tahoua,14.89,5.27,80.6,78,40,9.17,NE,1596622899
112,beboto,8.27,16.94,80.73,78,48,6.91,TD,1596622900
113,butaritari,3.07,172.79,83.5,79,62,13.76,KI,1596622900
114,klaksvik,62.23,-6.59,51.8,100,100,6.93,FO,1596622901
115,palmer,42.16,-72.33,68.0,100,1,4.14,US,1596622901
116,hobart,-42.88,147.33,43.0,81,75,14.99,AU,1596622741
117,bentiu,9.23,29.83,76.75,85,100,7.02,SS,1596622901
118,havoysund,71.0,24.66,51.8,100,75,5.82,NO,1596622902
119,joshimath,30.57,79.57,75.9,52,55,4.85,IN,1596622902
120,airai,-8.93,125.41,57.31,100,45,0.51,TL,1596622902
121,geraldton,-28.77,114.6,62.6,67,40,6.93,AU,1596622903
122,anito,12.45,125.29,81.81,81,84,6.13,PH,1596622903
123,maryborough,-25.53,152.7,66.0,88,43,3.0,AU,1596622903
124,saldanha,-33.01,17.94,55.4,59,0,11.41,ZA,1596622903
125,padang,-0.95,100.35,83.84,71,100,5.14,ID,1596622904
126,tual,-5.67,132.75,77.65,86,7,12.59,ID,1596622904
127,san patricio,19.22,-104.7,78.08,88,86,4.05,MX,1596622904
128,touros,-5.2,-35.46,71.6,88,75,5.82,BR,1596622905
129,norman wells,65.28,-126.83,57.2,100,90,6.93,CA,1596622905
130,tura,25.52,90.22,85.46,78,36,8.59,IN,1596622629
131,torbay,47.67,-52.73,55.99,87,90,9.17,CA,1596622905
132,navrongo,10.9,-1.09,81.9,61,30,10.47,GH,1596622906
133,kodiak,57.79,-152.41,60.8,59,1,10.29,US,1596622906
134,ardmore,34.17,-97.14,70.0,73,40,7.54,US,1596622652
135,cairns,-16.92,145.77,69.8,77,40,6.93,AU,1596622906
136,kupang,-10.17,123.58,78.8,57,75,8.05,ID,1596622907
137,coutances,49.05,-1.43,68.0,77,20,12.75,FR,1596622907
138,gebre guracha,9.8,38.4,60.84,86,95,5.86,ET,1596622907
139,hasaki,35.73,140.83,82.0,88,20,6.93,JP,1596622907
140,kamaishi,39.27,141.88,77.0,83,75,2.24,JP,1596622907
141,arosa,46.78,9.68,62.01,62,20,5.82,CH,1596622908
142,henties bay,-22.12,14.28,61.0,79,10,1.01,NA,1596622908
143,mnogovershinnyy,53.94,139.92,49.84,92,95,4.43,RU,1596622909
144,portalegre,39.29,-7.43,93.0,36,0,1.16,PT,1596622880
145,mar del plata,-38.0,-57.56,55.99,93,100,16.11,AR,1596622815
146,iralaya,15.0,-83.23,80.33,84,100,6.85,HN,1596622910
147,lahij,13.17,44.58,95.63,36,100,9.57,YE,1596622910
148,sambava,-14.27,50.17,76.12,62,40,15.41,MG,1596622910
149,sabha,27.04,14.43,102.74,9,0,6.78,LY,1596622911
150,gamba,-2.65,10.0,76.44,71,91,5.39,GA,1596622911
151,mhlambanyatsi,-26.45,31.02,56.57,62,98,4.83,SZ,1596622911
152,grand gaube,-20.01,57.66,71.01,64,90,8.99,MU,1596622911
153,hat yai,7.01,100.48,84.2,89,75,3.36,TH,1596622902
154,okha,53.57,142.95,53.71,88,100,7.92,RU,1596622912
155,chokurdakh,70.63,147.92,58.03,59,3,8.16,RU,1596622912
156,taoudenni,22.68,-3.98,109.2,7,31,6.24,ML,1596622912
157,kavieng,-2.57,150.8,82.51,79,90,16.78,PG,1596622913
158,guanare,9.04,-69.74,70.11,96,2,0.31,VE,1596622913
159,alice springs,-23.7,133.88,75.0,100,90,6.93,AU,1596622883
160,itajuba,-22.43,-45.45,46.99,86,0,1.19,BR,1596622913
161,komsomolskiy,40.43,71.72,95.0,14,0,4.7,UZ,1596622687
162,oeiras do para,-2.0,-49.85,73.2,96,0,1.54,BR,1596622849
163,lavrentiya,65.58,-171.0,45.97,86,95,3.53,RU,1596622914
164,gornopravdinsk,60.05,69.9,76.23,65,100,8.43,RU,1596622914
165,miri,4.41,114.01,78.8,88,40,13.87,MY,1596622683
166,valparaiso,-33.04,-71.63,53.01,80,0,3.4,CL,1596622915
167,berlevag,70.86,29.09,51.8,87,75,4.7,NO,1596622915
168,puerto ayora,-0.74,-90.35,66.0,98,95,5.01,EC,1596622915
169,klyuchi,52.27,79.17,83.16,32,0,16.96,RU,1596622915
170,tigil,57.8,158.67,48.0,82,22,4.16,RU,1596622916
171,dariba,24.95,74.13,93.2,56,75,6.93,IN,1596622916
172,araouane,18.9,-3.53,92.73,45,0,18.25,ML,1596622916
173,arraial do cabo,-22.97,-42.03,60.8,93,75,2.24,BR,1596622917
174,ponta do sol,32.67,-17.1,73.99,74,44,1.25,PT,1596622917
175,codrington,-38.27,141.97,44.56,78,50,8.28,AU,1596622917
176,izhma,65.01,53.91,76.05,50,70,9.57,RU,1596622864
177,quimper,48.0,-4.1,69.8,77,90,12.75,FR,1596622918
178,ust-nera,64.57,143.2,63.95,47,38,1.79,RU,1596622918
179,talnakh,69.49,88.4,68.0,52,83,8.95,RU,1596622918
180,shache,38.42,77.24,99.73,9,99,7.96,CN,1596622918
181,provideniya,64.38,-173.3,50.95,71,100,3.71,RU,1596622919
182,narsaq,60.92,-46.05,46.4,75,75,3.36,GL,1596622919
183,olafsvik,64.89,-23.71,50.07,92,100,16.35,IS,1596622920
184,viedma,-40.81,-63.0,46.0,93,82,4.25,AR,1596622920
185,skjervoy,70.03,20.97,55.4,93,75,2.24,NO,1596622920
186,lasa,46.62,10.7,50.0,81,5,8.05,IT,1596622920
187,joensuu,62.6,29.76,62.01,87,75,8.05,FI,1596622920
188,diffa,13.32,12.61,87.31,54,23,19.3,NE,1596622921
189,aguilas,37.41,-1.58,84.2,58,20,3.36,ES,1596622921
190,chuy,-33.7,-53.46,55.15,93,11,6.85,UY,1596622921
191,varhaug,58.61,5.65,59.0,99,99,3.0,NO,1596622922
192,ilulissat,69.22,-51.1,42.8,75,75,3.36,GL,1596622922
193,kollam,8.88,76.6,87.8,79,40,5.82,IN,1596622922
194,paraiso,9.84,-83.87,66.2,100,100,3.36,CR,1596622922
195,yerbogachen,61.28,108.01,76.24,51,8,7.81,RU,1596622923
196,ancud,-41.87,-73.82,44.01,100,90,8.05,CL,1596622923
197,phalaborwa,-23.94,31.14,71.6,49,93,13.87,ZA,1596622923
198,karratha,-20.74,116.85,75.09,25,92,8.05,AU,1596622656
199,teknaf,20.86,92.31,83.35,85,95,15.97,BD,1596622923
200,puerto narino,-3.77,-70.38,69.8,100,3,2.24,CO,1596622924
201,evensk,61.95,159.23,52.27,70,90,2.86,RU,1596622924
202,coolum beach,-26.53,153.1,61.0,86,40,1.01,AU,1596622924
203,high prairie,55.43,-116.49,54.57,69,68,6.26,CA,1596622924
204,beringovskiy,63.05,179.32,49.86,83,20,2.3,RU,1596622925
205,say,13.1,2.37,84.2,62,20,14.99,NE,1596622925
206,banda aceh,5.56,95.32,86.43,65,100,10.36,ID,1596622925
207,rodbyhavn,54.65,11.35,67.64,65,73,15.73,DK,1596622925
208,umkomaas,-30.21,30.8,60.01,84,98,3.96,ZA,1596622926
209,sept-iles,50.2,-66.38,62.6,77,75,11.41,CA,1596622643
210,kaitangata,-46.28,169.85,45.0,83,48,3.91,NZ,1596622926
211,inzer,54.22,57.56,80.19,49,1,10.18,RU,1596622926
212,tiksi,71.69,128.87,62.65,56,93,1.79,RU,1596622926
213,ouadda,8.08,22.4,77.36,80,62,8.86,CF,1596622927
214,yulara,-25.24,130.99,66.2,33,66,12.75,AU,1596622927
215,hai duong,20.93,106.32,82.4,88,40,8.05,VN,1596622913
216,ubinskoye,55.31,79.68,78.53,47,0,11.41,RU,1596622928
217,severo-yeniseyskiy,60.37,93.04,71.78,42,100,9.82,RU,1596622928
218,tagbac,7.09,125.16,82.4,83,90,8.05,PH,1596622928
219,fez,34.04,-5.0,91.4,31,0,9.17,MA,1596622928
220,aberdeen,57.14,-2.1,66.99,72,100,8.05,GB,1596622928
221,urengoy,65.97,78.37,71.89,42,100,6.46,RU,1596622929
222,agirish,61.92,63.02,76.77,33,0,3.65,RU,1596622929
