,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
223,dataganj,28.03,79.4,94.66,50,99,10.22,IN,1596622929
224,east london,-33.02,27.91,55.4,76,20,5.82,ZA,1596622930
225,bethel,41.37,-73.41,68.0,93,1,3.44,US,1596622930
226,turka,49.15,23.03,73.99,73,100,4.0,UA,1596622930
227,lakatoro,-16.1,167.42,75.2,88,40,9.62,VU,1596622930
228,manaus,-3.1,-60.02,78.8,83,2,2.24,BR,1596622931
229,nouadhibou,20.93,-17.03,69.8,94,90,9.17,MR,1596622931
230,nanortalik,60.14,-45.24,45.52,76,60,5.66,GL,1596622931
231,kloulklubed,7.04,134.26,77.0,94,90,3.36,PW,1596622931
232,leningradskiy,69.38,178.42,34.93,89,99,10.16,RU,1596622932
233,les cayes,18.2,-73.75,79.03,82,23,6.35,HT,1596622932
234,manzanillo,20.34,-77.12,76.53,81,0,2.73,CU,1596622932
235,dalbandin,28.89,64.41,107.6,6,0,4.59,PK,1596622932
236,grindavik,63.84,-22.43,50.0,100,90,10.29,IS,1596622933
237,axim,4.87,-2.24,78.04,66,20,7.56,GH,1596622933
238,sao raimundo nonato,-9.02,-42.7,66.47,78,22,8.93,BR,1596622933
239,havre-saint-pierre,50.23,-63.6,59.0,93,75,5.82,CA,1596622934
240,abu samrah,35.3,37.18,97.9,22,0,20.56,SY,1596622934
241,kailua,21.4,-157.74,80.6,65,20,11.41,US,1596622934
242,vicuna,-30.03,-70.71,43.0,64,7,1.59,CL,1596622934
243,nabire,-3.37,135.48,78.49,82,92,0.94,ID,1596622935
244,senanga,-16.12,23.27,87.12,14,0,3.49,ZM,1596622935
245,flinders,-34.58,150.86,52.0,51,0,7.0,AU,1596622935
246,boromo,11.75,-2.93,79.97,69,39,9.71,BF,1596622935
247,khani,41.96,42.96,82.4,58,0,10.29,GE,1596622936
248,zheleznogorsk-ilimskiy,56.58,104.12,79.02,34,41,5.82,RU,1596622936
249,mirnyy,62.54,113.96,78.8,26,51,11.18,RU,1596622936
250,dingle,11.0,122.67,78.4,88,100,3.58,PH,1596622936
251,georgetown,5.41,100.34,87.8,70,20,6.93,MY,1596622936
252,hambantota,6.12,81.12,82.4,94,40,14.99,LK,1596622937
253,pisco,-13.7,-76.22,60.01,93,90,4.7,PE,1596622937
254,vernon,50.26,-119.27,60.8,72,1,2.24,CA,1596622937
255,atar,20.52,-13.05,80.6,69,0,14.99,MR,1596622937
256,esperance,-33.87,121.9,55.4,93,75,12.75,AU,1596622937
257,port elizabeth,-33.92,25.57,51.8,93,75,8.05,ZA,1596622938
258,sirari,-1.23,34.43,81.82,34,10,6.51,TZ,1596622938
259,dikson,73.51,80.55,44.94,99,100,25.37,RU,1596622938
260,agapovka,53.3,59.13,82.4,37,75,20.13,RU,1596622938
261,bonthe,7.53,-12.51,78.06,67,80,6.93,SL,1596622939
262,ribeira grande,38.52,-28.7,71.6,78,75,10.29,PT,1596622939
263,buala,-8.14,159.59,81.72,80,84,10.09,SB,1596622939
264,asfi,32.3,-9.24,74.37,71,19,9.44,MA,1596622939
265,ucluelet,48.93,-125.55,60.01,92,0,6.29,CA,1596622940
266,nouakchott,18.09,-15.98,84.2,70,75,12.75,MR,1596622899
267,stromness,58.97,-3.3,62.6,88,90,11.18,GB,1596622940
268,nova olimpia,-14.8,-57.29,63.73,52,0,3.15,BR,1596622941
269,sumbe,-11.21,13.84,75.2,62,0,6.93,AO,1596622941
270,mount isa,-20.73,139.5,66.2,24,0,4.7,AU,1596622887
271,latung,5.5,120.88,81.01,85,100,16.17,PH,1596622941
272,honiara,-9.43,159.95,78.8,94,75,2.24,SB,1596622942
273,vardo,70.37,31.11,51.8,93,75,16.11,NO,1596622942
274,shimoda,34.67,138.95,75.99,80,6,1.99,JP,1596622942
275,cabo san lucas,22.89,-109.91,81.0,79,0,10.2,MX,1596622943
276,bartlesville,36.75,-95.98,61.0,87,20,3.27,US,1596622685
277,victoria,22.29,114.16,82.0,90,100,10.0,HK,1596622878
278,poum,-20.23,164.02,71.49,64,8,5.28,NC,1596622943
279,aquidauana,-20.47,-55.79,67.08,44,0,6.26,BR,1596622944
280,carutapera,-1.2,-46.02,74.5,94,21,5.19,BR,1596622944
281,mayo,38.89,-76.51,71.6,88,1,3.36,US,1596622944
282,pangnirtung,66.15,-65.71,50.95,84,97,2.86,CA,1596622944
283,aklavik,68.22,-135.01,48.2,87,75,6.93,CA,1596622944
284,brae,60.4,-1.35,55.4,100,90,12.75,GB,1596622945
285,chernyshevskiy,63.01,112.47,75.07,41,17,6.31,RU,1596622945
286,laredo,27.51,-99.51,78.8,83,1,6.93,US,1596622945
287,sitrah,26.15,50.62,104.0,38,0,16.11,BH,1596622946
288,todos santos,23.45,-110.22,72.0,83,13,1.99,MX,1596622946
289,abrau-dyurso,44.69,37.59,86.0,27,0,20.13,RU,1596622946
290,xichang,27.9,102.26,84.92,57,92,1.25,CN,1596622946
291,nome,64.5,-165.41,46.4,81,1,5.44,US,1596622947
292,vysokogornyy,50.12,139.15,51.26,95,100,3.67,RU,1596622947
293,longyearbyen,78.22,15.64,50.0,81,75,4.7,SJ,1596622947
294,koshurnikovo,54.17,93.3,66.13,86,16,5.12,RU,1596622923
295,morros,-9.45,-46.3,64.87,76,1,10.13,BR,1596622947
296,praia da vitoria,38.73,-27.07,73.4,94,75,5.73,PT,1596622948
297,hofn,64.25,-15.21,51.8,93,90,14.99,IS,1596622948
298,mlonggo,-6.53,110.7,87.8,66,20,10.29,ID,1596622948
299,creel,27.75,-107.63,56.3,77,24,3.56,MX,1596622949
300,rocha,-34.48,-54.33,57.45,89,2,10.27,UY,1596622949
301,karema,-6.82,30.44,83.34,39,3,8.16,TZ,1596622949
302,slave lake,55.28,-114.77,60.8,63,20,6.93,CA,1596622949
303,bereda,43.27,-7.54,80.01,74,47,1.99,ES,1596622949
304,gigmoto,13.78,124.39,82.87,77,100,5.91,PH,1596622950
305,tuatapere,-46.13,167.68,42.01,94,84,1.99,NZ,1596622950
306,plettenberg bay,-34.05,23.37,54.61,57,97,1.66,ZA,1596622950
307,alofi,-19.06,-169.92,73.4,100,65,1.12,NU,1596622951
308,campbell river,50.02,-125.24,62.6,77,5,2.24,CA,1596622746
309,malindi,-3.22,40.12,80.6,78,75,20.8,KE,1596622951
310,vila franca do campo,37.72,-25.43,73.4,88,75,11.41,PT,1596622951
311,kavaratti,10.57,72.64,82.87,80,100,30.06,IN,1596622951
312,waingapu,-9.66,120.26,76.87,69,15,10.76,ID,1596622952
313,fort nelson,58.81,-122.7,51.8,81,40,3.36,CA,1596622952
314,beloha,-25.17,45.05,80.76,34,0,7.78,MG,1596622952
315,verkhnevilyuysk,63.45,120.32,74.03,53,93,2.91,RU,1596622953
316,lima,-12.04,-77.03,59.0,82,90,2.24,PE,1596622735
317,santo tomas,14.11,121.14,88.0,74,100,5.99,PH,1596622953
318,goure,13.98,10.27,81.0,79,74,7.0,NE,1596622953
319,udachnyy,66.42,112.4,78.8,26,0,4.47,RU,1596622954
320,ballitoville,-29.54,31.21,62.6,77,90,2.24,ZA,1596622954
321,necochea,-38.55,-58.74,60.01,87,99,8.01,AR,1596622955
322,monteiro,-7.89,-37.12,65.66,75,25,13.89,BR,1596622955
323,westport,41.14,-73.36,71.01,92,0,5.03,US,1596622744
324,paamiut,61.99,-49.67,44.47,83,100,13.4,GL,1596622955
325,moose factory,51.26,-80.61,53.6,100,90,4.7,CA,1596622956
326,guiyang,26.58,106.72,86.0,55,40,8.95,CN,1596622956
327,mongar,27.27,91.24,77.59,71,73,3.89,BT,1596622956
328,ina,35.83,137.95,73.99,86,95,1.99,JP,1596622957
329,mandal,25.45,74.57,97.38,40,75,10.83,IN,1596622897
330,chapais,49.78,-74.85,62.6,93,90,12.75,CA,1596622957
331,lazaro cardenas,17.96,-102.2,77.95,81,100,3.85,MX,1596622957
332,prieska,-29.66,22.75,67.19,25,0,6.71,ZA,1596622958
333,santarem,-2.44,-54.71,73.35,87,4,3.24,BR,1596622958
334,kalakamati,-20.59,27.31,77.0,22,0,3.36,BW,1596622958
335,husavik,66.04,-17.34,51.8,76,90,4.7,IS,1596622673
336,paita,-5.09,-81.11,59.61,88,0,9.66,PE,1596622959
337,caala,-12.85,15.56,69.8,32,0,4.7,AO,1596622959
338,binga,-17.62,27.34,77.74,32,0,4.18,ZW,1596622959
339,crotone,39.09,17.12,86.0,45,40,8.05,IT,1596622934
340,caravelas,-17.71,-39.25,70.18,75,30,11.34,BR,1596622959
341,himare,40.1,19.74,75.2,69,40,10.29,AL,1596622960
342,coihaique,-45.58,-72.07,28.4,92,90,5.82,CL,1596622960
343,quatre cocos,-20.21,57.76,71.6,60,40,11.41,MU,1596622960
344,mujiayingzi,42.12,118.78,83.73,36,68,8.86,CN,1596622960
345,springbok,-29.66,17.89,52.39,48,0,8.08,ZA,1596622961
346,soto la marina,23.77,-98.22,75.0,97,0,1.72,MX,1596622961
347,chissamba,-12.17,17.33,71.6,21,3,8.05,AO,1596622961
348,roald,62.58,6.13,55.99,87,75,12.75,NO,1596622961
349,sibolga,1.74,98.78,83.95,67,91,2.93,ID,1596622961
350,sivaki,52.63,126.75,54.0,97,100,5.01,RU,1596622962
351,poso,-1.4,120.75,80.47,81,71,0.09,ID,1596622962
352,goderich,43.75,-81.72,64.99,87,39,11.41,CA,1596622962
353,balkanabat,39.51,54.37,84.7,26,91,2.77,TM,1596622962
354,maragogi,-9.01,-35.22,74.7,78,86,13.33,BR,1596622962
355,imbituba,-28.24,-48.67,64.4,88,8,9.17,BR,1596622837
356,aksarka,66.56,67.8,72.14,42,30,10.07,RU,1596622670
357,denpasar,-8.65,115.22,78.8,88,75,14.99,ID,1596622842
358,saint-joseph,-21.37,55.62,73.4,56,90,8.05,RE,1596622963
359,doba,8.65,16.85,81.5,75,38,7.85,TD,1596622963
360,watsa,3.04,29.54,77.63,67,96,3.04,CD,1596622964
361,college,64.86,-147.8,54.0,93,40,1.86,US,1596622964
362,fougamou,-1.22,10.58,78.98,61,100,3.44,GA,1596622964
363,kuito,-12.38,16.93,71.6,21,0,8.05,AO,1596622965
364,clyde river,70.47,-68.59,41.0,93,90,5.82,CA,1596622965
365,jiblah,13.92,44.15,70.54,73,99,7.81,YE,1596622965
366,yenagoa,4.92,6.26,82.72,60,20,6.38,NG,1596622965
367,cuamba,-14.8,36.54,94.33,23,0,0.54,MZ,1596622965
368,leshukonskoye,64.9,45.76,76.08,51,100,12.15,RU,1596622966
369,seminole,28.71,-81.21,75.2,94,1,2.24,US,1596622966
370,barga,44.07,10.48,81.0,36,20,9.17,IT,1596622966
371,maxixe,-23.86,35.35,77.0,57,20,4.7,MZ,1596622966
372,jiaocheng,24.68,116.14,76.35,90,100,2.19,CN,1596622967
373,aitape,-3.14,142.35,80.47,83,67,4.21,PG,1596622967
374,ahipara,-35.17,173.17,55.29,91,85,4.97,NZ,1596622967
375,bambanglipuro,-7.95,110.28,77.41,76,28,11.92,ID,1596622967
376,kaeo,-35.1,173.78,55.0,3,100,4.12,NZ,1596622967
377,bolo,13.79,120.98,83.73,80,99,9.4,PH,1596622968
378,dhidhdhoo,6.88,73.1,83.1,81,100,21.59,MV,1596622968
379,safaga,26.73,33.94,96.8,25,0,17.22,EG,1596622968
380,argayash,55.49,60.88,86.0,42,40,15.66,RU,1596622968
381,la grande,45.32,-118.09,55.4,66,1,1.03,US,1596622894
382,bathsheba,13.22,-59.52,80.6,78,75,18.34,BB,1596622969
383,begunitsy,59.59,29.32,68.0,77,75,11.18,RU,1596622969
384,omsukchan,62.53,155.8,47.12,69,74,4.21,RU,1596622969
385,sayyan,15.17,44.32,73.27,38,54,1.41,YE,1596622969
386,jiexiu,37.02,111.91,68.65,85,100,8.52,CN,1596622969
